category,parent_option,option,value_type,value,unit
baseline_cost,default,baseline,per_sf,400,$/sf
bedrooms,apartment,studio,sqft,450,sf
bedrooms,apartment,1,sqft,700,sf
bedrooms,apartment,2,sqft,900,sf
bedrooms,apartment,3,sqft,1100,sf
bedrooms,apartment,4,sqft,1250,sf
bedrooms,condo,2,sqft,1200,sf
bedrooms,condo,3,sqft,1350,sf
bedrooms,townhome,2,sqft,1500,sf
bedrooms,townhome,3,sqft,2000,sf
bedrooms,townhome,4,sqft,2300,sf
mf_efficiency_factor,condo,default,factor,0.8,ratio
mf_efficiency_factor,apartment,default,factor,0.8,ratio
mf_efficiency_factor,townhome,default,factor,1,ratio
energy_code,default,vt_energy_code,percent,5,%
energy_code,default,rbes,percent,10,%
energy_code,default,passive_house,percent,20,%
energy_source,default,natural_gas,per_sf,0,$/sf
energy_source,default,all_electric,per_sf,0,$/sf
energy_source,default,geothermal,per_sf,12.5,$/sf
new_neighborhood,apartment,yes,per_unit,5000,$
new_neighborhood,apartment,no,per_unit,0,$
new_neighborhood,townhome,yes,per_unit,25000,$
new_neighborhood,townhome,no,per_unit,0,$
new_neighborhood,condo,yes,per_unit,15000,$
new_neighborhood,condo,no,per_unit,0,$
finish_quality,default,below_average,percent,-5,%
finish_quality,default,average,percent,0,%
finish_quality,default,above_average,percent,5,%
solar,default,default,per_unit,0,$
covered_parking,default,default,per_unit,0,$
